nama_site,kota_kabupaten,month,scope_of_work,actual_severity,predicted_severity,confidence_score,confidence_minor,confidence_major,top_factor_1,top_factor_2
sby-07-478,kota surabaya,8,m9,Major,Major,0.94,0.06,0.94,site_code,scope_of_work
spg/07/036,kabupaten sampang,8,gns,Minor,Major,0.74,0.26,0.74,site_code,scope_of_work
btu-07-052,kota malang,10,rns,Major,Major,0.67,0.33,0.67,site_code,scope_of_work
krs-07-059,kota/kab probolinggo,6,rne,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
tbn-07-073,kabupaten tuban,8,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
mgt/07/002,kabupaten magetan,7,m9,Minor,Major,0.97,0.03,0.97,site_code,scope_of_work
mlg-07-021,kota malang,2,m9,Minor,Major,0.96,0.04,0.96,site_code,scope_of_work
blt-07-004,kota/kab blitar,2,m9,Major,Major,0.92,0.08,0.92,site_code,scope_of_work
kdr1-07-057,kota/kab kediri,8,gnp,Minor,Minor,0.62,0.62,0.38,site_code,scope_of_work
sby/07/159,kota surabaya,7,rne,Minor,Minor,0.81,0.81,0.19,site_code,scope_of_work
smp-07-118,kabupaten sumenep,9,gne,Minor,Major,0.8226666666666667,0.17733333333333334,0.8226666666666667,site_code,scope_of_work
sby/07/567,kota surabaya,7,rne,Minor,Major,0.86,0.14,0.86,site_code,scope_of_work
kpn-07-143,kota malang,4,gne,Minor,Minor,0.77,0.77,0.23,site_code,scope_of_work
bkl-07-060,kabupaten bangkalan,2,a2,Minor,Minor,0.93,0.93,0.07,site_code,scope_of_work
mjk1-07-032,kota/kab mojokerto,2,q2,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
spg-07-036,kabupaten sampang,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kdr1-07-022,kota/kab kediri,3,vw2,Minor,Minor,0.93,0.93,0.07,site_code,scope_of_work
bkl-07-021,kabupaten bangkalan,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby/07/235,kota surabaya,12,pst,Major,Minor,0.64,0.64,0.36,site_code,scope_of_work
njk-07-059,kabupaten nganjuk,6,rne,Major,Major,0.79,0.21,0.79,site_code,scope_of_work
lmj-07-052,kabupaten lumajang,9,gne,Minor,Minor,0.76,0.76,0.24,site_code,scope_of_work
bjn-07-058,kabupaten bojonegoro,3,vw2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bkl-07-053,kabupaten bangkalan,3,vw2,Minor,Minor,0.96,0.96,0.04,site_code,scope_of_work
spg-07-041,kabupaten sampang,1,a5,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
sby/07/231,kota surabaya,7,pst,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
lmg-07-072,kabupaten lamongan,9,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-045,kota surabaya,9,rol,Minor,Minor,0.78,0.78,0.22,site_code,scope_of_work
sit-07-074,kabupaten situbondo,11,pst,Minor,Minor,0.67,0.67,0.33,site_code,scope_of_work
gsk/07/076,kabupaten gresik,12,gne,Minor,Major,0.71,0.29,0.71,site_code,scope_of_work
kdr-07-111,kota/kab kediri,9,gns,Minor,Minor,0.84,0.84,0.16,site_code,scope_of_work
sda/07/273,kabupaten sidoarjo,7,rne,Minor,Major,0.96,0.04,0.96,site_code,scope_of_work
psr-07-007,kota/kab pasuruan,11,gne,Minor,Minor,0.56,0.56,0.44,site_code,scope_of_work
